id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
6691,7999,Rugrats Go Wild!,NULL,2003-05-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7075,47346,Pro Beach Soccer,NULL,2003-08-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7269,49694,Meitantei Conan: Nerawareta Tantei,NULL,2003-08-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
7695,1823,Slime Mori-mori Dragon Quest: Shougeki no Shippo-dan,NULL,2003-11-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8413,8240,SOCOM II: U.S. Navy SEALs,NULL,2003-11-04 00:00:00.000,5,NULL,NULL,NULL,89.0679,9
8500,60141,Slouching Towards Bedlam,NULL,2003-09-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8544,121824,The Need for Speed Collection,NULL,2003-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
8562,73550,Abandoned Well,NULL,2003-07-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9309,93086,Bontãgo,NULL,2003-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9354,28411,Backpacker 3,NULL,2003-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
9986,122537,Taiko no Tatsujin: Waku Waku Anime Matsuri,NULL,2003-12-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10195,135850,Population: Tire,"In the year 19xx, the citizens of Strongbadia are terrorized by a faceless foe. As a top secret crack commando operative, it is you job to protect the last remaining citizen from touching the tainted soil. You are soldier!    Score points by bouncing tire with mouse. Hit infidels to increase the value of each bounce. String combos to prevent the value from dropping over time.    You one are of brave few. Accept your mission and step fourth. And remember; never, ever break a cold one.",2003-06-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10933,138359,Disney Hotshots Arcade Frenzy: Mushoot / Rooftop Ruckus,NULL,2003-01-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
10961,19116,Seiklus,NULL,2003-08-15 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
11719,48651,Sunman,NULL,2003-12-15 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
11910,41471,Minehunter,NULL,2003-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12766,49669,Legend of Dynamic Goushouden: Houkai no Rondo,NULL,2003-11-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
12882,85963,Reksio i Ufo,NULL,2003-12-31 00:00:00.000,NULL,1,NULL,NULL,NULL,NULL
12977,80460,Karaoke Revolution,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,0
13119,49699,"Atelier Marie, Elie & Anis: Message on the Gentle Breeze","The two alchemists Marlone (most commonly refered to as ""Marie"") and Elfir ""Elie"" Traum run a workshop together on the Artisan's Way in the city of Salburg. It's not a big business, but their reputation is steadily going up. One day, their past teacher Ingrid requests them to write books for the new library that is being built. The library will be finished in 5 years, so they are requested to write at least one book every year during that time.  During the years, Marie and Elie are introduced to Anis Ryftchen, a young alchemist studying to become a teacher. While Anis initially seems cheerful, it's soon revealed that she is overworking herself. Anis is struggling to keep up with both her work at the academy and her vision to write books for her school back in the Southern Country. Marie and Elie offers to help her, but this is ultimately up to the player to choose.",2003-01-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13648,107158,The Maze,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13687,2861,Scooby-Doo! Mystery Mayhem,NULL,2003-09-10 00:00:00.000,1,NULL,NULL,NULL,45.0000,3
13707,50577,Super Bust-A-Move All Stars,NULL,2003-09-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13755,49727,Minna no Soft Series: Minna no Mahjong,NULL,2003-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13781,49225,Scooby-Doo!: Mystery Mayhem,NULL,2003-10-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13787,45062,Tall Infinity,NULL,2003-08-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
13807,3774,1080° Avalanche,NULL,2003-11-28 00:00:00.000,3,NULL,70.0000,1,69.4722,7
13855,67374,D.N. Angel: Crimson Wings,NULL,2003-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14108,24088,Summoner: A Goddess Reborn,NULL,2003-02-04 00:00:00.000,NULL,NULL,NULL,NULL,66.0000,1
14240,109266,Freedoom,NULL,2003-04-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14357,49588,Hamster Paradise: Pure Heart,NULL,2003-08-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14368,4173,ATV Quad Power Racing 2,NULL,2003-02-28 00:00:00.000,NULL,NULL,73.0000,2,51.0000,0
14473,66396,Space Station 13,NULL,2003-02-16 00:00:00.000,1,1,NULL,NULL,NULL,NULL
14550,98915,Sega Ages 2500 Vol. 2: Monaco GP,NULL,2003-08-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14738,134169,Stack Attack 2 Pro,NULL,2003-08-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14852,4051,Ohenro-San,NULL,2003-04-24 00:00:00.000,NULL,NULL,NULL,NULL,23.0000,0
15038,3868,Dakar 2: The World's Ultimate Rally,NULL,2003-03-07 00:00:00.000,NULL,NULL,51.5000,2,48.0000,0
15182,24086,Hypersonic Xtreme,NULL,2003-01-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15491,43826,Atlantis: The Lost Continent,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15560,46157,Iraq War 2003,NULL,2003-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15599,95498,Kreed,NULL,2003-08-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
15735,6158,Stake: Fortune Fighters,NULL,2003-05-05 00:00:00.000,NULL,NULL,36.0000,2,NULL,NULL
15845,69426,Teudogar and the Alliance with Rome,NULL,2003-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16287,262,Deer Hunter 2004,NULL,2003-10-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16337,144813,Totò Sapore E La Magica Storia Della Pizza,NULL,2003-12-19 00:00:00.000,4,NULL,NULL,NULL,NULL,NULL
16465,1151,Broken Sword: The Sleeping Dragon,"Powerful seismic events are shaking the world. Something sinister is emerging. An Ancient Conspiracy, the Secret of the Templars, and a fiendish source of pure Evil are responsible. The death of a back bedroom computer hacker in Paris is just the beginning of another extraordinary adventure for George Stobbart and Nico Collard. Welcome to the world of Broken Sword.",2003-11-14 00:00:00.000,15,NULL,60.0000,2,71.9185,59
16522,3260,Muppets Party Cruise,NULL,2003-11-11 00:00:00.000,2,NULL,76.0000,1,25.0000,0
16651,71433,Ochakumi +,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16713,124319,VeggieTales Creativity City,"There's so much to do in Creativity City! Take a tour with Bob the Tomato and Larry the Cucumber. Visit the shops to design and print your own creations -- even games and activities!    > Bob's Bookworks : Check out Bob's colossal collection of activities! Design your own storybooks and electronic books to send to family. Even create photoframes, bookmarks, notepads, coloring pages, calendars and more!    > Junior's Toybox : Exciting games and activities! Design your own mazes, connect-the-dots, card games, puzzles, stickers and a Pin the Tooth on Larry party game! Then print them out for hours of fun!    > VeggiePlex Theater : Be a star! Create an amazing ""photo mosaic"" of your own face, then use your imagination to create electronic posters and, of course, VeggieTales® movie posters. Look out, Hollywood!    > Post Office : Express your creativity with lots of fun activities! Make your own greeting cards, stationery, e-cards and more!    > Larry's Sign Shack : Larry's in a pickle! How can one cucumber create all of these signs? Put your creativity into overdrive with fun activities that include creating and coloring posters, banners and doorknob hangers!",2003-02-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16821,3913,Family Stadium 2003,NULL,2003-05-30 00:00:00.000,NULL,NULL,NULL,NULL,25.0000,0
16940,44637,Motorsiege: Warriors of Primetime,NULL,2003-09-29 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
16955,143636,Fushigi Densha,"The main character awoke at a bar in front of the station after getting drunk. There he saw a strange tram running through a strange city. A city filled with absurdity, a city lacking common sense. Our hero got on the tram and henceforth he was going to experience a lot of different stories and a lot of different sexual affairs as well. While getting himself involved in various strange happenings he arrives at the terminal station. Though, when he finally got there, the sun has already hidden itself behind the horizon, so he decided to wait for the dawn at the bar in front of the station. Once again drunk, he awakes and finds himself in a strange city with a strange tram running through it. Our hero, having lost all of his previous memories gets on the tram onсe again and sets on a journey through a mysterious town once more.    Will this seemingly indefinitely looping tramway trip continue for a long time?  When will our hero finally get home?",2003-03-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17247,49826,Tales of the World: Summoner's Lineage,NULL,2003-04-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17594,10064,Bridge It,NULL,2003-09-25 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
17650,27256,Online Bomberman,NULL,2003-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
17686,67040,Fire Pro Wrestling Z,NULL,2003-06-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17756,43270,Shepherd's Crossing,"Plant Grow, Reap The Rewards  After a lifetime wandering, a girl named Claire in the village of Shepherd's Crossing has convinced you to settle down.  With a little car, an untamed plot of land becomes a thriving farm with a wide variety of crops and animals.  Trade your products at the market for new crops, animals, and friends. Go hunting wild beasts and defend your livestock.  Guard your home against storms, snow, and infestation. Your farm is the heart of the town of Shepherd's Crossing.",2003-12-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17810,2822,Samurai Jack: The Amulet of Time,NULL,2003-03-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17842,9787,Mercedes-Benz World Racing,NULL,2003-12-31 00:00:00.000,NULL,NULL,60.0000,1,39.0000,3
17878,9274,Devastation,NULL,2003-03-28 00:00:00.000,4,1,NULL,NULL,50.1607,8
18436,67054,Ichigeki Sacchu!! HoiHoi-san,NULL,2003-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18528,49777,Shin Kisekae Monogatari,NULL,2003-10-05 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18552,75470,Ghostlop (Limited release),NULL,2003-10-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18683,5940,N.U.D.E.@ Natural Ultimate Digital Experiment,NULL,2003-04-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18904,49849,Tennis no Oji-Sama 2003: Cool Blue,NULL,2003-03-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
18912,4048,NHL Hitz Pro,NULL,2003-09-25 00:00:00.000,NULL,NULL,80.0000,2,58.0000,0
19001,45690,Pokémon Crazy Drummer,NULL,2003-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19109,49319,Operation: Armored Liberty,NULL,2003-12-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19741,20145,Gallop Racer 2003: A New Breed,NULL,2003-04-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
19786,135869,Awexome Cross,NULL,2003-02-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20152,45081,Equestrian Showcase,NULL,2003-06-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20251,70515,Galaxy Angel: Moonlit Lovers,NULL,2003-08-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20503,40496,Trophy Hunting,NULL,2003-06-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20619,49603,GET! Boku no Mushi Tsukamaete,NULL,2003-08-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
20788,62650,MicroMan's Crazy Computers,NULL,2003-06-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21095,94449,Pekka Kana 2,NULL,2003-08-06 00:00:00.000,1,1,NULL,NULL,NULL,NULL
21112,179406,Puzzle League,NULL,2003-02-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21432,61954,Exodus Guilty Vol. 3 Future,NULL,2003-12-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21600,43392,Mobile Suit Gundam Encounters In Space,NULL,2003-09-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21625,49731,Minna no Shiiku Series: Boku no Kabuto - Kuwagata,NULL,2003-07-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
21868,10155,World War II: Frontline Command,NULL,2003-07-27 00:00:00.000,1,NULL,76.0000,2,NULL,NULL
22204,1829,PlanetSide,NULL,2003-05-20 00:00:00.000,NULL,NULL,74.5000,3,65.3320,4
22238,49786,Sengoku Kakumei Gaiden,NULL,2003-03-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22350,40188,Pochi and Nyaa,NULL,2003-01-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22367,621,Call of Duty,NULL,2003-10-29 00:00:00.000,186,NULL,86.6667,4,82.4099,541
22483,49405,Disney's The Haunted Mansion,NULL,2003-10-14 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22550,3323,Tropico 2: Pirate Cove,NULL,2003-04-08 00:00:00.000,4,NULL,86.0000,2,70.0191,10
22559,171245,SimHarbor,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22655,44842,Ao Zora to Nakama Tachi: Yume no Bouken Plus,NULL,2003-12-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22681,49505,POWDER,NULL,2003-07-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
22845,49698,Matantei Loki Ragnarok: Gensou no Labyrinth,NULL,2003-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23163,49595,Hachiemon,NULL,2003-07-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23277,94644,Cycling Manager 3,NULL,2003-06-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23352,122220,Mondschein,"Old Fynn tells of his life. He always wanted to go to the stars. When the opportunity arose, he joined the alliance for a space mission. But on this mission, the ship is attacked and destroyed by an unknown force. In a rescue capsule Fynn crashes on a strange planet and is found by the girl Ki. Here the adventure begins. With the help of his new girlfriend Ki, he goes in search of the so-called people from the moon, always pursued by terrible nightmares.    Moonlight has its own combat system and some nice animations. Furthermore, there are a number of side quests that make the game even more interesting. But also with the rest the game makes an excellent impression.",2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23519,49637,Koinu to Issho! Aijou Monogatari,NULL,2003-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23579,49853,Tantei Gakuen Q: Meitantei Hakimida!,NULL,2003-10-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23626,49590,Hamster Monogatari 3 GBA,NULL,2003-01-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23826,115512,Pax Romana,NULL,2003-11-06 00:00:00.000,NULL,NULL,NULL,NULL,70.0000,0
23964,62261,ATV Racers,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24118,44977,Rescue Copter,NULL,2003-01-08 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24198,7557,Big Rigs: Over the Road Racing,NULL,2003-11-20 00:00:00.000,2,NULL,NULL,NULL,10.8461,19
24215,183610,Smilinguido: Desafio na Floresta,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
24323,23696,Curse of Atlantis: Thorgal's Quest,NULL,2003-05-21 00:00:00.000,NULL,NULL,51.0000,1,NULL,NULL
24748,5793,Crimson Skies: High Road to Revenge,"You take the role of the daring air pirate Nathan Zachary, leader of the infamous Fortune Hunters. The high-flying adventure's single player campaign is filled with escapes, defense/escort missions and dogfights. You can take on friends over Xbox Live! as well.",2003-10-21 00:00:00.000,4,NULL,94.0000,3,71.1681,11
24752,11013,Trainz Railroad Simulator 2004,NULL,2003-12-31 00:00:00.000,NULL,NULL,100.0000,1,NULL,NULL
24821,24099,Enigma: Rising Tide,NULL,2003-08-25 00:00:00.000,NULL,NULL,90.0000,1,NULL,NULL
24965,2124,Freelancer,NULL,2003-03-04 00:00:00.000,24,NULL,70.0000,2,83.0951,52
25261,49498,Gachasute! Dino Device 2 - Dragon,NULL,2003-07-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25526,10213,Space Impact Evolution X,NULL,2003-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25531,82131,Police: Chase Down,NULL,2003-04-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25655,50585,Zoids VS II,NULL,2003-09-04 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25666,9356,Highland Warriors,NULL,2003-01-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25738,44914,Superstars Dance Club #1 Hits,NULL,2003-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26239,43418,Cho Aniki: Seinaru Protein Densetsu,NULL,2003-11-30 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26786,49724,Minna no Soft Series: Tetris Advance,NULL,2003-12-28 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
26880,49492,Ao Zora to Nakama Tachi: Yume no Bouken,NULL,2003-01-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27121,24098,Once Upon A Knight,NULL,2003-09-23 00:00:00.000,NULL,NULL,68.0000,1,NULL,NULL
27294,134303,Guilty Gear X: Ver 1.5,"The context for Guilty Gear X is presented thusly in its game manual: In 2181, less than a year later after the incident with Justice, information about the discovery of a particular Gear rose to the public's attention. The report stated that the Gear was functioning properly, undamaged and with no abnormalities detected, and that no civilians were harmed by it, either intentionally or accidentally. There were attempts to destroy it, but all were unsuccessful due to its combat capabilities.    As most Gears should be dormant without Justice's leadership, these news stunned the public. People were terrified by the possible emergence of a second self-reliant Gear like Justice, exarcerbated by rumors of each nation having their own Gears for military use. Driven by an all-time high anti-Gear sentiment, humanity did not want to give up their peace after the hundred year-long Crusades. Soon, an announcement was made: ""Whosoever brings about the demise of this dreadful Gear shall be rewarded with the lofty sum of 500,000 World Dollars!"".",2003-02-21 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27484,49571,Fushigi no Kuni no Alice,NULL,2003-02-09 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27494,49767,Oshare Princess 2 + Doubutsu Kyaranabi Uranai,NULL,2003-01-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27504,7496,Grand Chase,"The story focuses on the adventure of the Grand Chase group originally by Elesis, Lire, and Arme, as the adventure goes on new characters join the team.",2003-08-01 00:00:00.000,2,NULL,NULL,NULL,76.2380,9
27629,10201,Lock On: Modern Air Combat,NULL,2003-11-20 00:00:00.000,NULL,NULL,84.0000,1,NULL,NULL
27904,43732,Winnie The Pooh: Kindergarten,NULL,2003-09-23 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
27957,49531,Boboboubo Boubobo: Majide!!? Shinken Shoubu,NULL,2003-09-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28040,1410,Metal Slug 5,"The laboratory developing the next generation of METAL SLUGs comes under attack and a data disk containing METAL SLUG secrets is seized.  Marco and Tarma are ordered to retrieve the disc and rush to track it down. Meanwhile, Eri and Fio, who are investigating the paramilitary organization Ptolemaic Army that is raiding historical ruins, succeed in tracking it down at an ancient ruin known as the ""Corridor of Fire."" They storm the site and attempt to overtake them, but they are repulsed by the natives and giant METAL SLUGs. This incident makes it clear that the enemy behind the pilfering of METAL SLUG secrets is the Ptolemaic Army.  The Government Forces decide to carry out a second assault on the ""Corridor of Flame"" using an elite force of PF Squad and S.P.A.R.R.O.W.S. members to retrieve the secrets and destroy the paramilitary organization!!  A special disc that contains deep and intricate secrets about the Metal Slug project is stolen by a mysterious group called the Ptolemaic Army, whose specialty lies from within archaeological excavation and espionage. Marco and Tarma of the Peregrine Falcon Strike Force follow in hot pursuit against the group and in the process are joined by Eri and Fio of SPARROWS. Together once more, the quartet investigate the shrouded objective of the Ptolemaic Army.",2003-11-01 00:00:00.000,12,NULL,50.0000,1,80.3505,56
28445,19306,My Street,NULL,2003-03-09 00:00:00.000,NULL,NULL,40.0000,1,NULL,NULL
28475,24090,Nina: Agent Chronicles,NULL,2003-04-08 00:00:00.000,1,1,NULL,NULL,NULL,NULL
28606,62682,Special Force,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
28657,49540,Derby Stallion Advance,NULL,2003-01-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29751,75842,Naruto: Konoha Senki,NULL,2003-09-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
29943,39853,The Gladiator: Road of the Sword,NULL,2003-06-13 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30218,61955,Exodus Guilty Vol. 2 Past,NULL,2003-11-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30496,10224,Nightshade,"In Nightshade, the player plays as Hibana, a female counterpart to Shinobi‍ '​s Hotsuma. She is a government-employed ninja tasked with the elimination of members of the Nakatomi Corporation, which has unwittingly unleashed hellspawn upon futuristic Tokyo. She is also ordered to recover the shards of ""Akujiki"", the legendary cursed sword that Hotsuma used to seal the hellspawn the last time.",2003-12-04 00:00:00.000,1,NULL,60.6667,5,NULL,NULL
30758,69158,Transworld Surf: Next Wave,NULL,2003-03-18 00:00:00.000,NULL,NULL,NULL,NULL,36.0000,0
30842,110319,COLLECTOR'S EDITION 251,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
30875,123412,Shikigami no Shiro II,NULL,2003-10-24 00:00:00.000,NULL,NULL,NULL,NULL,59.0000,0
